code;name;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Česká národní fronta;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
598925;Albrechtice;3173;1955;1944;109;4;2;181;2;131;211;15;22;12;1;3;139;0;5;25;635;1;1;174;0;10;1;0;255;5
599051;Bohumín;17613;9036;8973;579;12;4;1241;9;133;821;85;91;87;7;6;641;0;12;119;3157;18;33;305;3;55;14;25;1478;38
598933;Český Těšín;19635;10422;10361;698;15;4;877;12;192;760;129;83;107;7;6;828;0;5;214;3597;12;19;1310;3;41;22;16;1365;39
598941;Dětmarovice;3507;2061;2048;148;3;1;161;4;46;241;12;7;18;0;3;153;0;1;19;816;4;4;66;0;8;3;6;307;17
598968;Dolní Lutyně;4299;2566;2547;157;3;3;243;2;127;243;16;13;17;3;2;158;1;0;33;968;0;5;140;2;7;1;7;385;11
568864;Doubrava;1013;526;526;14;4;2;40;0;9;62;3;5;4;0;0;34;0;0;3;221;0;0;24;0;3;0;2;92;4
555088;Havířov;61372;31648;31480;1699;60;13;2996;23;629;3694;373;207;275;13;71;2657;4;23;589;11596;29;55;1154;17;186;44;52;4904;117
598178;Horní Bludovice;1930;1294;1288;116;5;1;85;1;42;171;14;7;9;1;3;132;1;0;27;419;0;4;91;0;10;2;2;143;2
552739;Horní Suchá;3628;1908;1902;82;2;0;164;1;180;197;19;7;22;1;2;135;0;1;31;629;0;3;122;0;10;0;2;287;5
555291;Chotěbuz;1000;634;634;33;1;0;51;0;7;48;4;9;5;0;0;48;0;0;5;189;0;1;118;0;5;1;1;107;1
598917;Karviná;45014;21127;21025;900;34;8;2422;30;328;2365;166;151;116;20;7;1206;1;24;262;8426;20;61;747;7;52;21;38;3540;73
599069;Orlová;24736;11310;11257;548;11;2;1022;10;186;1251;82;92;91;20;3;696;4;10;123;4651;11;32;304;6;32;12;16;1909;133
599077;Petrovice u Karviné;4014;2469;2460;164;1;1;223;3;50;187;29;19;18;1;5;193;0;1;49;954;0;3;188;0;8;1;4;349;9
599085;Petřvald;5860;3044;3029;181;6;3;320;4;65;419;19;17;19;4;3;182;1;4;45;1087;3;5;86;1;22;7;5;510;11
599107;Rychvald;5963;3465;3444;220;2;3;304;2;68;342;39;10;31;5;3;261;0;1;75;1398;3;13;88;1;17;9;8;523;18
599140;Stonava;1473;907;904;20;2;0;67;0;28;85;6;6;3;0;1;66;0;0;18;398;0;3;73;1;0;1;1;124;1
599158;Těrlicko;3661;2387;2374;171;5;1;205;0;56;237;30;17;17;5;2;170;2;5;59;863;5;4;203;1;10;3;3;297;3
